Heading,NewsType
turkey cancels 3.4 bln missile deal with chi,business
asia markets down after paris attacks japan in recessi,business
federal govt releases rs201 bn for uplift proj,business
oil prices up in asia but gains limited,business
pakistan on its way to become worlds 18th best economy ishaq dar,business
global stock markets falter before weekend,business
sbp keeps policy rate unchanged at 6,business
oil down in asia on oversupply fear,business
power tariff cut likely after fuel adjustment for ,business
new tax amnesty scheme for traders in the offing,business
oil prices down on diplomatic efforts to ease middle east tensi,business
pakistans foreign exchange reserves rise to 19.828 b,business
sponsored volta offers free battery inspection in three citi,business
pakistan to invite paypal alibaba to start e commerce servi,business
duty on 313 imported items to go up in 72 hour,business
oil prices up in asi,business
oil prices gain ahead of opec meeting,business
pakistan aims to raise 379 million in new taxes to meet imf targ,business
oil prices trade below 42 in asi,business
oil prices rise in asia with opec meeting in focu,business
asian shares swing on weak factory d,business
opec decides against cutting oil output nigeri,business
global stocks fall as ecb underwhelms investor,business
home world set to distribute kiwi mobiles in paki,business
presidential ordinance govt ready to set up parliamentary commi,business
Oil stays below 40 after OPEC decides against output cu,business
K Electric slashes tariff by Rs208 per uni,business
Oil price plunge China data hit Asian mar,business
Symmetry Group wins big at Campaign Asia Awards 2015,business
Oil gain fails to halt fresh slide on Asian mar,business
Oil prices up in Asian trad,business
Global stock selloff on seven year oil ,business
PML N put failed state back on its feet again Dar,business
Intl investors showed interest in Pakistans gas sector Par,business
Oil plunge fuels run on energy firms as Asia stocks tumb,business
Oil prices mixed in Asia ahead of Fed mov,business
Dollar steady ahead of Fed rate hike decisi,business
Oil prices extend losses in Asia after inventory repor,business
Oil heads for third weekly loss after new signs of inventory building,business
Global stocks fall as Fed is second guessed,business
Oil extends slide on US production export worri,business
No intention to privatize PIA Ishaq Dar,business
Gold keeps gains from two day rally but oil slump a worry,business
Dollar dips as effect of Fed rise wears off,business
Oil extends rally in Asia after US repor,business
Major challenges of economic revival grasped Dar,business
Income tax collection rose 16 pc in five months Dar,business
Saudi Arabia posts record 98 bn budget deficit for 2015,business
Gold slips with oil softer dollar fails to lift ,business
Oil prices weaken US crude defends premium over Br,business
Half a million tax payers file e Returns this year,business
Banks to remain closed on January 01,business
NEPRA cuts power tariff by Rs 206 per uni,business
Asia stocks subdued as oil resumes f,business
Efforts afoot to pull PIA out of deficit Ishaq Dar,business
Trade Policy Framework 2015 18 to be announced ,business
Global growth will be disappointing in 2016,business
Crude oil prices drop more than 1 per,business
Oil ends 2015 down 35 per,business
Effective anti corruption strategy yielded results NAB Chief,business
Power sector recoveries stand at 93 pcin 2015 Asif,business
FIA nabs three senior officials of AKD over graft charg,business
Oil surges on Saudi Arabia Iran tensi,business
Asia shares try to stabilize China edges higher,business
SBP freezes bank accounts of Rs1 bn over terror funding charg,business
Oil slides to new 11 year low over Saudi Iran r,business
Asia subdued as crude oil flounder,business
Saudi Iran split dashes chance of OPEC deal to curb oil glu,business
World Bank cuts global economic growth ou,business
Brent crude hits new 11 year ,business
Pakistan forex reserves fall to 20810 b,business
Oil moves away from 12 year lows as China shares ri,business
Global stocks crater in worst week in 4 year,business
NA Special Committee on PIA to meet on Monday,business
Workers remittances up 626 to 97 bn in first half of FY16,business
Ishaq Dar formally launches Pakistan Stock Exchang,business
Gold firm on safe haven demand as stocks face headwind,business
K Electric petitions NEPRA for hike in November bi,business
US crude oil prices approach 20 pc fall since beginning of 2016,business
Asia stocks cheered by China trade surpri,business
Brent falls to another 12 year low as Iran supply ,business
Crude oil falls as market braces for more Iranian oi,business
Modi launches 15 bln fund to support start u,business
Chipotle to shut outlets next month for food safety meeting,business
MAP hosts seminar on Island of Ex,business
IMF appreciates Pakistans steps for fiscal manag,business
Pak China Business Conference opens in Islamabad,business
Oil slides to lowest since 2003 as Iran sanctions are lifted,business
Asia stocks up modestly as China GDP figures match expectati,business
Gold edges up as stocks retreat oil strugg,business
Asia stocks get welcome respite as crude prices bou,business
Oil prices stretch gains on cold US European weather,business
Crude extends gains after surge on short covering cold ,business
Asia stocks rise after US snowstorm rescues oil pri,business
Gold hits two week high as equities retreat agai,business
Asia stocks find support oil still unstab,business
Pakistans forex reserves drop by 109 milli,business
PIA suffers Rs500 mn loss due to ongoing strike spokesper,business
PM announces Rs5 per litre cut in POL pri,business
POL prices slashed by Rs5litre from Monday,business
Pakistan Jan inflation rate rises to 332 ,business
Asia stocks edge up after Japan policy boost debt shi,business
Gold hits three month high on shaky global economy,business
IMF approves 497 mln tranche for Paki,business
Crude oil prices steady in thin Asian trading,business
Asia stocks slip in holiday thinned trad,business
WB president for Pakistan to invest in people to boost economy,business
Pakistan begins Kinnow expor,business
WB acknowledges Pakistans growing economy,business
IEA sees global oil glut worsening OPEC deal unlikely,business
Gold on course for longest winning run since 2011,business
Pakistan workers remittances rise 6 in 7 ,business
PIA reduces far,business
Pakistan Qatar ink four agreements MoU,business
Asia stocks drop as banking sector concerns smoulder,business
Five more LNG import pacts to be signed with Qatar Shahid Khaq,business
Oil prices fall on US storage glut ongoing economic ,business
Gold eyes best week in 4 years as market turmoil boosts haven ,business
Annual stipend to BISP beneficiaries raised to Rs18800,business
Steps afoot to raise GDP level to 7 pc Ishaq Dar,business
Brent US crude oil edges d,business
FBR realizes Rs1664 bln revenue till Feb 15,business
LNG import from Qatar to begin from March MD PSO,business
Qatar Saudi Russia and Venezuela agree to freeze oil outpu,business
Asian shares extend gains as investor fears ,business
Iran says will resist curbs on oil output as part of global ,business
Oil rebounds on investor optimism over producers d,business
Oil up 7 percent as Iran welcomes output freez,business
Asian shares slip from three week high as oil rally rever,business
Iran aims to increase oil production by 700000 barrels per day,business
Over 9000MW electricity to be added in national grid by 2017,business
Asia shares edge ahead with oil pound sli,business
Ishaq Dar wants timelines for power projects strictly followed,business
Gold climbs as stock rally fizzles fund inflows suppor,business
Asian shares oil retreat as Saudi plays down output cu,business
Asian stocks slip as crude heads sou,business
Oil prices dip on continued oversupply,business
Pakistans growth rate will be raised to 5 pc this year Iqb,business
FBR decides to extend deadline for VTCS,business
Mobile phone imports reach 433276 mln dollars in Paki,business
India unveils pro poor budget keeps deficit targ,business
Asian shares slip after G20 Fed ang,business
NEPRA cuts power tariff by Rs 411 per uni,business
Saudi Arabia expected to raise April crude prices to Asi,business
Gold extends losses on robust US data higher shar,business
Asia shares scale seven week ,business
Volkswagen says did not breach market disclosure ru,business
Oil prices climb after US oil output f,business
Finance minister chairs meeting to review PIA perfor,business
Iran expects economic growth above 5 pc in 2016,business
China says will keep yuan basically stable against basket of currenci,business
Oil jumps as traders close short positions US producers cut rig cou,business
NEPRA cuts power tariff by Rs 411 per uni,business
Saudi Arabia expected to raise April crude prices to Asi,business
Gold extends losses on robust US data higher shar,business
Asia shares scale seven week ,business
Volkswagen says did not breach market disclosure ru,business
Oil prices climb after US oil output f,business
Finance minister chairs meeting to review PIA perfor,business
Iran expects economic growth above 5 pc in 2016,business
China says will keep yuan basically stable against basket of currenci,business
Oil jumps as traders close short positions US producers cut rig cou,business
Asian shares retreat on profit taking oil eyed,business
Oil prices dip on stronger dollar demand concer,business
Gold hits 13 month top on firm eur,business
Chinese investment in Pakistan to create thousands of job opportuniti,business
Tobacco off Saudi shelves amid price rise speculati,business
Oil prices stable as market seen bottoming but oversupply linger,business
Bangladeshs bank governor resigns after 81 mn stolen in cyber hei,business
Pakistani trade deficit rises to 15102 b,business
Punjab cuts CNG prices by Rs530 per kg,business
Oil prices fall as oversupply concerns mount agai,business
Asia markets slip before BOJ Fed oil sli,business
Oil rises as US producers struggle inventories may weig,business
Asia jumps as cautious Fed lifts risk appeti,business
US oil hits 2016 high on hopes for output freez,business
Asia stocks turn positive for year dollar sags after Fed,business
PM approves Strategic Trade Policy Framework 2015 18,business
Govt announces automotive policy carrying incentives reduced duti,business
Gold eases but underpinned by weaker dollar,business
Asian stocks slip as oil skids China u,business
Stocks fall gold and govt bonds rise after Brussels explosi,business
Asian shares edge lower as Fed rate talk reviv,business
Pakistans forex reserves rise to over 20521 billi,business
US oil falls after big jump in stockpi,business
Oil steadies as US rig count drop offsets stockpile worry,business
Dollar North Asia stocks firm on positive US GDP d,business
Mobile phone import rises by 677 per,business
Oil prices fall as concerns rise over rally petering ou,business
OGRA proposes Rs 309 litre hike in petrol pri,business
ADB cuts Asia growth forecast for 2016 on China global drag,business
Govt hikes prices of petrol di,business
McDonalds to add over 1500 outlets in China Hong Kong Kor,business
Asia stocks edge up to four month high after Wall Street gai,business
Oil posts best quarter since mid 2015 but glut still worri,business
Dar calls for Charter of Economy to develop Paki,business
Indias ITC says to keep cigarette factories shut over health warning ru,business
Australian tax office probes hundreds for possible tax evasion after Panama ,business
Customs to raise import prices of tyr,business
US dealerships owner sues Volkswagen over diesel emissions scand,business
Asia stocks at three week lows as China worries grow oil u,business
Oil prices up on US inventory draw but traders warn on premature rally,business
Asian shares drop as banks come under pressure yen soar,business
SBP keeps policy rate unchanged at 6 ,business
Global stocks gain on oil boost dollar fades vs y,business
Gold climbs to near three week high on safe haven demand,business
US posts 108 billion budget deficit in Mar,business
Finance ministers visit to Washington cancelled,business
Gwadar port almost ready,business
Oil prices dip but hold above 40 ahead of producer meeting,business
IMF cuts global growth outlook agai,business
US government worse than all major industries on cyber security repor,business
Global diesel demand crumbling warns IEA,business
China Hong Kong shares firm as export growth raises hopes for GDP,business
Pakistan Customs proposes 5 to 20 percent duties on imported good,business
Pakistan seeking access to Swiss bank accou,business
CPECs first phase to be completed by 2018 Ahsan Iqb,business
Oil prices tumble 5 percent after producers fail to coordinate outpu,business
EU mulls crackdown on banks offshore tax advisers after Panama Paper,business
Asian shares rise on tentative bounce in crude oi,business
Asia shares touch six month top dollar on defensiv,business
VW to pay US customers 5000 each to settle dieselg,business
Oil prices set for one of the biggest weekly rises in 2016,business
Pakistan gems mineral show kicks off,business
Sargodha Cases for electricity defaulters forwarded to NAB,business
Toyota to launch plug in hybrid cars in China in 2018,business
Saudi king replaces minister for water and electricity,business
USA Today Tribune Publishing Medi,business
Oil falls as traders cash in after 3 weeks of gai,business
Automakers fight for slice of Chinese eco car mar,business
Gold extends gains as dollar drops ahead of BOJ Fed meeting,business
Lucky Cement to award power plant contr,business
Twitter stock plunges after revenue misses esti,business
Pakistan shares end higher rupee stab,business
Sunflower ready for harvest in Punjab Paki,business
Petrol price likely to go up by Rs3 per litre from May 01,business
Asian shares dollar rise after Fed focus now on BOJ,business
IMF agrees 15 bn bailout for Sri L,business
Gold poised for best week in eight on dollar slu,business
Professional network operator LinkedIns revenue rises 35 ,business
Facebook hit with lawsuit over plan to issue new ,business
Iran oil exports to South Korea rise after sanctions lifted,business
German minister criticizes Volkswagen management over bonuses paper,business
World Bank approves 1 billion for Paki,business
Oil prices fall on rising OPEC crude producti,business
WB approves 1 billion to support economic reforms in Paki,business
Gold steadies near 15 month peak on softer dollar fund inf,business
Oil prices dip on rising Middle East supply,business
Johnson Johnson ordered to pay 55 mln in talc powder tri,business
Oil stable after two day decline on stall in global gr,business
K Electric wins Safety Award,business
Pakistan comes out of dark period Khurram Dastgir,business
Old design banknotes cease to be legal tender with effect from Dec 1,business
Pakistan succeeds in growing its apparel industry,business
Pakistan woos Renault and Nissan in push for auto inv,business
FBR to introduce modified e filing procedure of Tax retur,business
Gold struggles as dollar firms ahead of US jobs d,business
Fresh milk prices increased by Rs5 per litr,business
Global business growth picked up some speed in Apri,business
Saudi Arabia says to maintain stable petroleum polici,business
Problems of rice exporters to be solved Governor Sind,business
Gold slips as dollar holds firm after US jobs d,business
Pakistan aim at increasing exports to India to 1bn within a year Dastagir,business
India inflation50 percent price hi,business
Pakistan must speed up reform of energy sector World B,business
Oil prices stable as brimming storage counters supply disrupti,business
UK employers favour temporary staff over permanent as EU vote near,business
Dar reaches Dubai for talks with IMF,business
Smuggling taxes Indian gold impor,business
dollar dominance global currency,business
Oil jumps on outag,business
Say goodbye to OPEC powerful Putin pal predi,business
IMF 510 million aid tranche Paki,business
Oil prices fall as Canadian oil sands fields gradually retur,business
India trademark patent policy global pressur,business
China asks for WTO resolution for subsidy dispute with US,business
Italy violin makers struggle profitab,business
Comic books teach fi,business
Gold eyes worst week since Mar,business
Apple invests 1 bln in Chinese ride hailing service Didi Chuxing,business
Panama airport 575 million bond prob,business
US bank defends fund transfer after Bangladesh hei,business
India Iran Halkbank oil pay,business
India wholesale prices ri,business
problems G7 finance ministers world,business
Oil prices rise on Nigeria Venezuela disrupti,business
Norways wealth fund to sue Volkswagen over emissions scand,business
Pakistan keen to expand trade and economic cooperation with Portugal NA Speaker,business
Pakistan shares higher rupee stronger,business
Gold dollar strength stocks recovery,business
Oil futures hold near six month hig,business
Unusual heat bakes Sri Lanka chicken industry,business
Oil prices remain near 2016 hig,business
IMF backs Saudi economic ,business
High food prices challenge India inflation targ,business
Blue diamond soars world record Christi,business
Asian stocks gold fall as US hike back on the cards dollar ju,business
Selfie in the offing Apple boss Modi gold iP,business
Gold set for biggest weekly drop in two ,business
India sign Iran port contract Modis tri,business
Lacking new ideas G7 agree go your own way appr,business
Oil prices rise as turmoil in Nigeria adds to global supply disrupti,business
Apple boss Cook meets Modi plot India strategy,business
Pakistan central bank cuts interest rates growth lag,business
India pays Iran oil dues Modi visi,business
IMF researchers say Japan monetary easing has benefits for Asian economi,business
Abu Dhabi lays off staff Gulf austerity tig,business
UK PM Cameron warns Brexit drive up food pri,business
After long dispute London metro run night weekend,business
Pakistani exhibitors showcase productsBeauty world fair,business
Pakistan Textile exports decline 77,business
Pakistan sell 40 percent stock exchange end 2016early 2017,business
Oil prices dip on strong dollar firm global suppli,business
Venezuela rejoin global group fighting conflict diamond,business
India soybean falling farmers switch pu,business
Oil prices little changed as dollar gains US drawdown ,business
ECC approves Ramzan relief packag,business
NBP ICBC signed MoU bilateral cooperation Pakistan Chi,business
Iran Saudi threatens OPEC deal questi,business
Gold near 7 week low Fed rate hike pr,business
Pakistan attract foreign investors invest Gawadar Ahsan Iqb,business
Oil jumps to near 50,business
Pakistani traders visit Hou,business
Daily Mail downgrades outlook print advertising slu,business
Oil nears 50barrel on inventory data boosting ,business
Pakistan gold import increases 2134,business
